,State,laccess,State_Population_2015,state_pct_laccess
0,AK,223550.111424862,737547.0,30.309947898216926
1,AL,962910.8900031,4853160.0,19.84090551317286
2,AR,587921.0691545,2978407.0,19.739446931010438
3,AZ,1254357.801496,6833596.0,18.355750054524734
4,CA,4323349.5059707,38953142.0,11.098846675759043
5,CO,947373.22831115,5452107.0,17.376277250449228
6,CT,1033866.2657100001,3587509.0,28.81849956919969
7,DC,12688.2801,675254.0,1.8790381249129957
8,DE,175386.2515,941413.0,18.63010724304848
9,FL,3986500.21291866,20224249.0,19.711487002155977
10,GA,2384973.600037288,10181111.0,23.425474882233264
11,HI,411050.1748,1422484.0,28.89664662660529
12,IA,566186.2557494,3121460.0,18.138507485260103
13,ID,316789.8760003,1651523.0,19.181681151294896
14,IL,2299602.4075924,12864342.0,17.875787254353156
15,IN,1422229.479009151,6608296.0,21.521879150224972
16,KS,679162.5260147,2909502.0,23.342913186335668
17,KY,702012.058912429,4425999.0,15.86109845285616
18,LA,1060387.783221,4664851.0,22.731439508378728
19,MA,1715211.004566,6795891.0,25.238942245630486
20,MD,1176322.1601630899,5986717.0,19.648868656445426
21,ME,171266.4851559,1328484.0,12.891874132913909
22,MI,2088245.54030537,9932573.0,21.02421538009708
23,MN,1309333.708199,5482503.0,23.88204271295428
24,MO,1321341.97824767,6071745.0,21.762145449910527
25,MS,666797.0028858,2988693.0,22.310655623906502
26,MT,232301.4878535,1030503.0,22.542533874573873
27,NC,1771412.107062597,10033079.0,17.655717721973456
28,ND,175932.8516091,754022.0,23.332588652466374
29,NE,343341.52078317,1891507.0,18.151744655619567
30,NH,342734.1774259,1336294.0,25.648111674968234
31,NJ,1990449.219513,8870869.0,22.438040957576984
32,NM,651576.7645748,2090211.0,31.172774642119865
33,NV,412581.3122564,2868666.0,14.382340511457242
34,NY,2157894.9845318,19661411.0,10.97528038314137
35,OH,2636742.0777332,11617850.0,22.695611302721243
36,OK,836908.4931358,3909831.0,21.405234475244583
37,OR,618406.028642,4016918.0,15.395037405344098
38,PA,2526791.8894499,12785759.0,19.762549016056848
39,RI,234833.29647,1056173.0,22.234358998951876
40,SC,1054356.7310489,4892253.0,21.551557759766307
41,SD,247263.9380998,853933.0,28.955894443685864
42,TN,1499040.108131683,6590808.0,22.744405665157945
43,TX,5734601.85526529,27486814.0,20.863101322929932
44,UT,550441.11368897,2982497.0,18.455713909820194
45,VA,1475205.992692486,8362907.0,17.639870833102485
46,VT,71817.30862634,625197.0,11.487148630965919
47,WA,1493467.89523478,7163543.0,20.848173804984206
48,WI,1046387.6486646,5761406.0,18.162018935388343
49,WV,325911.850070808,1841996.0,17.693407047073283
50,WY,171101.9317289,585668.0,29.214833613736797
